Sources: https://data.worldbank.org/indicator/SP.POP.TOTL?end=2020&name_desc=false&start=1960&view=chart
Australia
10276477 12507000	14692000 17065100	19153000 22031750	25687041
0.00 21.70 17.50	16.20	12.20	15.00	16.60
Canada
17909009 21324000	24515667 27691138	30685730 34004889	38005238
0.00 19.10 15.00 13.00 10.80 10.80 11.80
New_Zealand
2371800	2810700	3112900	3329800	3857700	4350700	5084300
0.00 18.50 10.80 7.00	15.90 12.80	16.90
United_Kingdom
52400000 55663250	56314216 57247586	58892514 62766365	67215293
0.00 6.20	1.20 1.70 2.90 6.60	7.10
United_States
180671000	205052000	227225000	249623000	282162411	309327143	329484123
0.00 13.50 10.80 9.90	13.00 9.60 6.50
Japan
93216000	103403000	116807000	123478000	126843000	128070000	125836021
0.00	21.40	20.40	19.10	15.80	13.20	12.00
Hong_Kong
3075605	3959000	5063100	5704500	6665000	7024200	7481800
0.00	28.72	27.89	12.67	16.84	5.39	6.51
Ireland
2828600	2957250	3412800	3513974	3805174	4560155	4994724
0.00	4.55 15.40	2.96	8.29 19.84	9.53
India
450547675	555189797	698952837	873277799	1056575548	1234281163	1380004385
0.00	23.23	25.89	24.94	20.99	16.82	11.81
Vietnam
32670048	43404802	54281841	67988855	79910411	87967655	97338583
0.00	32.86	25.06	25.25	17.53	10.08	10.65
